date,product,usd,tons
2005-02-01,soybean_oil,90609141,188588.2346479446
2005-02-01,soybeans,74917269,342595.5717773438
2005-03-01,soybean_meal,201444993,1078196.008590698
2005-03-01,soybean_oil,103084439,218439.9613932967
2005-03-01,soybeans,383155472,1750824.799804688
2005-04-01,soybean_meal,244393690,1262088.360152841
2005-04-01,soybean_oil,67713629,139912.0818935891
2005-04-01,soybeans,611801201,2691078.354715705
2005-05-01,soybean_meal,257522676,1324827.492355347
2005-05-01,soybean_oil,110444869,226109.6600472657
2005-05-01,soybeans,527635325,2297422.119773865
2005-06-01,soybean_meal,279948179,1415722.841888428
2005-06-01,soybean_oil,129833170,275457.759743927
2005-06-01,soybeans,695739146,2951573.799958825
2005-07-01,soybean_meal,277120308,1378113.87525177
2005-07-01,soybean_oil,136681240,297565.9959243052
2005-07-01,soybeans,659801549,2686177.991510078
2005-08-01,soybean_meal,306011301,1461434.558053017
2005-08-01,soybean_oil,116280819,251886.5025494834
2005-08-01,soybeans,686761605,2752432.394569397
2005-09-01,soybean_meal,214003804,1017397.427566528
2005-09-01,soybean_oil,73202239,158148.3302055439
2005-09-01,soybeans,543271447,2203801.440470695
2005-10-01,soybean_meal,224198249,1098771.071340762
2005-10-01,soybean_oil,116220562,251039.8003924899
2005-10-01,soybeans,441201013,1792146.302210987
2005-11-01,soybean_meal,278903415,1354465.467757225
2005-11-01,soybean_oil,114318064,248766.547601223
2005-11-01,soybeans,340663805,1359158.582336426
2005-12-01,soybean_meal,209012458,1018858.286911011
2005-12-01,soybean_oil,114689779,251269.9911200663
2005-12-01,soybeans,233947151,952837.1496658325
2006-01-01,soybean_meal,182727497,858588.6994552612
2006-01-01,soybean_oil,70534166,159698.9886678457
2006-01-01,soybeans,178997738,716147.470375061
2006-02-01,soybean_meal,110494973,535308.1665763855
2006-02-01,soybean_oil,64626080,146634.7052407265
2006-02-01,soybeans,171610923,720499.7280478477
2006-03-01,soybean_meal,214866224,1067820.52805233
2006-03-01,soybean_oil,93553992,200002.6131987125
2006-03-01,soybeans,618745217,2646596.628961563
2006-04-01,soybean_meal,141491493,759694.7148761749
2006-04-01,soybean_oil,70726857,147832.5079042017
